id	title	author	authorYearOfBirth	authorYearOfDeath	publishedYear	tokensCount
openBook1	Το μεγάλο στοίχημα για τη διάδοση της Ελληνικής Λογοτεχνίας στο εξωτερικό				2019	60841.0
openBook2	Εκλεκτή της καρδιάς μου	Πάνος Μιχελής			2014	3553.0
openBook3	Η γυφτοπούλα	Αλέξανδρος Παπαδιαμάντης (1851-1911)			2019	68929.0
openBook4	Ο φτωχός Άγιος	Αλέξανδρος Παπαδιαμάντης (1851-1911)			2017	0.0
openBook5	Η Σταχομαζώχτρα	Αλέξανδρος Παπαδιαμάντης (1851-1911)			2017	0.0
openBook6	Ήμουν κι εγώ παιδί κάποτε	Φρίντα Κριτσωτάκη			2019	38470.0
openBook7	Διδακτικά παραμύθια	Κυριάκος Ταπακκούδης			2019	7549.0
openBook8	6 Φωνές, 6 Γυναίκες				2019	18428.0
openBook9	Πνοή μες στην Ψυχή	Άννα-Μαρία Θεοχαροπούλου			2019	2458.0
openBook10	Τα προκατειλημμένα χέρια (the dark Queen of Herself)	Απόστολος Λαγαρίας			2019	15055.0
openBook11	Ο ζητιάνος	Ανδρέας Καρκαβίτσας (1865-1922)			2019	33468.0
openBook12	Ο αρχαιολόγος	Ανδρέας Καρκαβίτσας (1865-1922)			2019	28713.0
openBook13	Τα παραμύθια μου, για μικρούς και μεγάλους	Κυριάκος Ταπακκούδης			2018	4032.0
openBook14	Ο Ρόλος των Πατέρων στην Εξισορρόπηση της Επαγγελματικής και Οικογενειακής_Προσωπικής Ζωής				2007	18492.0
openBook15	Ελ Τζο – Οι θεοί του Γκραντ Κάνυον				2019	1.0
openBook16	Αντιγραφή	Γιάννης Αντάμης			2019	5458.0
openBook17	Σειρά εκθέσεων με εξειδικευμένα θέματα με αποδέκτες κέντρα λήψης αποφάσεων και άσκησης πολιτικής				2008	35535.0
openBook18	Θύμα ή Επιζώσα; Η Ρητορική Κατασκευή Ταυτοτήτων στη Συμβουλευτική για την Κακοποίηση Γυναικών				2001	4475.0
openBook19	Το κέντρο της Αθήνας ως πολιτικό διακύβευμα				2013	65146.0
openBook20	Είκοσι νουβέλες	Λουίτζι Πιραντέλο (Luigi Pirandello, 1867-1936)			2019	52129.0
openBook21	Tierra del ego	Γιάννης Αντάμης			2019	7397.0
openBook28	Η κόρη του τοκογλύφου – Οι περιπέτειες του Σέρλοκ Χολμς	Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)			2019	126.0
openBook29	Η τιμή και το χρήμα	Κωνσταντίνος Θεοτόκης (1872 – 1923)			2019	15948.0
openBook30	“Ο μικρός Τόμπραχ και άλλα διηγήματα”	Ρίντυαρ Κίπλιγκ (Joseph Rudyard Kipling, 1865-1936)			2018	285.0
openBook31	Ευτυχισμένο κοιμάμενο νερό	Γιάννης Φαρσάρης			2019	7768.0
openBook32	Ύψους Έγκατα	Νίκος Τερζής			2010	3356.0
openBook33	Αναφορά στο Γιοφύρι της Άρτας	Φώτης Βράκας			2019	5777.0
openBook34	Λησμονημένη παράδοση, έθιμα και παιδικά παιχνίδια από τον Άγιο Σπυρίδωνα Άρτας	Φώτης Βράκας			2014	6593.0
openBook35	Εμείς οι ναυτικοί	Κυριάκος Ταπακκούδης			2019	49929.0
openBook36	Παραμύθια της θάλασσας	Κυριάκος Ταπακκούδης			2019	3143.0
openBook37	Όταν οι τρελοί μιλούν				2018	0.0
openBook38	Η καταστρεπτική επίδραση της ποίησης	Σωτήρης Παστάκας			2018	0.0
openBook39	Επ7ά φωνές				2018	0.0
openBook40	H Μεταβυζαντινή Ελληνόφωνη Ποίηση και οι τάσεις της, τα τελευταία 50 χρόνια	Κώστας Σοφιανός			2019	7702.0
openBook41	Εφτά σημειώσεις για την ποίηση	Μιχάλης Πιερής			2018	1255.0
openBook42	Τραγούδια από τα βράχια του Καυκάσου	Ξενοφών Μακρόπουλος			2011	1567.0
openBook43	Το μεγάλο τίποτα	Ευθύμιος-Ραφαήλ Αγγελής			2019	836.0
openBook44	Ο πειρατής του Ταμέσεως – Οι περιπέτειες του Σέρλοκ Χολμς	Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)			2019	132.0
openBook45	Η νεκρανάστασις του Σέρλοκ Χολμς – Οι περιπέτειες του Σέρλοκ Χολμς	Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)			2019	130.0
openBook47	Η κυρία με το γαλάζιο διαμάντι – Οι περιπέτειες του Σέρλοκ Χολμς	Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)			2019	129.0
openBook48	Περί του κόσμου	Πύρρων Ηλειόπουλος			2019	50841.0
openBook49	Ποιήματα	Ελένη Λιντζαροπούλου			2016	391.0
openBook50	Με γράφουν στην ταυτότητα Σταύρο Καραμανιώλα	Σταύρος Καραμανιώλας			2011	13589.0
openBook51	Mine	Paul Cendrier			2019	1695.0
openBook57	Ένας γάμος και άλλα διηγήματα	Εμίλ Ζολά (Émile Zola, 1840-1902)			2019	748.0
openBook58	Μάγκας	Πηνελόπη Δέλτα (1874-1941)			2019	47382.0
openBook59	#Tweet_Stories				2012	7357.0
openBook61	Χαμένος στο Αρχείο				2010	32.0
openBook62	Ο Αναβάτης	Ευθύμιος-Ραφαήλ Αγγελής			2019	613.0
openBook63	Μελέτες (2004-2017)	Ευάγγελος Ι. Τζάνος			2019	31254.0
openBook64	Φιλοσοποιήματα (2)	Σαράντης Σαραντόπουλος			2015	709.0
openBook65	Φιλοσοποιήματα (1)	Σαράντης Σαραντόπουλος			2015	678.0
openBook66	Το μαγικό μας καπέλο	Γιώργος Μαυροειδής			2012	3028.0
openBook67	Κείμενα νεοελληνικού λόγου	Χρήστος Τζούλης			1993	50294.0
openBook68	Ο Βίος του Αισώπου – Η παραλλαγή G	Μανόλης Παπαθωμόπουλος			1990	60560.0
openBook69	Εσωστρέφεια και εξωστρέφεια στα διηγήματα των Παπαμάρκου, Πέτσα, Οικονόμου, Παλαβού, Carver, Keret	Άγγελος Μουταφίδης			2018	22686.0
openBook70	Τάξη και Κόμμα				2011	15024.0
openBook71	Τέσσερα μονόπρακτα	Λουίτζι Πιραντέλο (Luigi Pirandello, 1867-1936)			2011	15185.0
openBook72	Διηγήματα (επιλογή)	Τζοβάνι Βέργκα (Giovanni Verga, 1840-1922)			2014	28474.0
openBook73	Επόμενη στάση παρακαλώ, μυαλό…	Βασίλειος Κάππας			2019	872.0
openBook74	Ισορροπία στα σκαλιά του ουρανού	Βασίλειος Κάππας			2019	3503.0
openBook75	Τζακ ο αντεροβγάλτης – Οι περιπέτειες του Σέρλοκ Χολμς	Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)			2019	126.0
openBook76	Ένα τρυφερό ερωτικό ειδύλλιο του Γκυ Ντε Μωπασσάν				2019	379.0
openBook78	Η αρετή της Κεκίνας	Ματίλντε Σεράο (Matilde Serao, 1856-1927)			2013	11801.0
openBook79	Ή τον Τζοβανίνο ή το θάνατο	Ματίλντε Σεράο (Matilde Serao, 1856-1927)			2012	9141.0
openBook80	Ιταλικός και Ρωσικός Λογοτεχνικός Φουτουρισμός: Συγκλίσεις και αποκλίσεις	Χρίστος Αλεξανδρίδης			2011	16481.0
