id	title	author	authorYearOfBirth	authorYearOfDeath	publishedYear	tokensCount
PG4100	Όραμα και Μεταμόρφωση : Μια εισαγωγή στο Ευγενές Οκταπλό Μονοπάτι του Βούδδα	Sangharakshita, Bhikshu	1925	0	1990	58930.0
PG17814	Λυσιστράτη	Aristophanes	-450	-388	1910	19869.0
PG17839	Οιδίπους Τύραννος	Sophocles	-496	-406	1911	16673.0
PG17995	Ηλέκτρα	Euripides	0	-406	1910	13239.0
PG17996	Επτά επί Θήβας	Aeschylus	-525	-456	1911	9526.0
PG20175	Φθινόπωρο	Chatzopoulos, Kostantinos	1868	1920	2006	46737.0
PG26731	Αντιγόνη	Sophocles	-496	-406	1912	21996.0
PG26784	Ιφιγένεια εν Αυλίδι	Euripides	0	-406	1911	25056.0
PG27073	Η Κερένια κούκλα: Αθηναϊκό μυθιστόρημα	Chrestomanos, Konstantinos	1867	1911	1911	50893.0
PG27301	Συριανά Διηγήματα	Rhoides, Emmanouel D.	1835	1904	1911	53639.0
PG27315	Όρνιθες	Aristophanes	-450	-388	1910	27535.0
PG27389	Ίων	Euripides	0	-406	-1	18535.0
PG27429	Εκκλησιάζουσαι	Aristophanes	-450	-388	1910	17308.0
PG27592	Ανδρομάχη	Euripides	0	-406	1910	13453.0
PG27668	Βάτραχοι	Aristophanes	-450	-388	1910	30245.0
PG27760	Η Πάπισσα Ιωάννα	Rhoides, Emmanouel D.	1835	1904	1835	92926.0
PG27816	Περί Ψυχής	Aristotle	-384	-322	1911	60795.0
PG27845	Κύκλωψ	Euripides	0	-406	-1	7775.0
PG27895	Μικρά Φυσικά, Τόμος Πρώτος	Aristotle	-384	-322	1912	31287.0
PG27896	Μικρά Φυσικά, Τόμος Δεύτερος	Aristotle	-384	-322	-1	27623.0
PG27938	Λουκιανός - Άπαντα, Τόμος Δεύτερος	Lucian, of Samosata	120	180	-1	52069.0
PG27946	Άλκηστις	Euripides	0	-406	-1	13042.0
PG28018	Λουκιανός - Άπαντα, Τόμος Τρίτος	Lucian, of Samosata	120	180	1911	49041.0
PG28061	Λουκιανός - Άπαντα, Τόμος Τέταρτος	Lucian, of Samosata	120	180	-1	52870.0
PG28202	Λουκιανός - Άπαντα, Τόμος Πέμπτος	Lucian, of Samosata	120	180	-1	47998.0
PG28606	Λουκιανός - Άπαντα, Τόμος Έκτος	Lucian, of Samosata	120	180	1911	63765.0
PG28626	Ηθικά Νικομάχεια, Τόμος Πρώτος	Aristotle	-384	-322	1000	53367.0
PG28658	Καλαμιές στον άνεμο	Deledda, Grazia	1871	1936	1871	77900.0
PG28779	Ο Γήταυρος: Δράμα	Golfis, Rigas	1886	1958	1921	11965.0
