id,title,author,type,publishedYear,isbn,filename,postUrl,attachmentUrl
openBook1,Το μεγάλο στοίχημα για τη διάδοση της Ελληνικής Λογοτεχνίας στο εξωτερικό,,Λογοτεχνικό περιοδικό,2019,,Το μεγάλο στοίχημα για τη διάδοση της Ελληνικής Λογοτεχνίας στο εξωτερικό.pdf,https://www.openbook.gr/literature-gr-1/,http://bit.ly/2NKllfH
openBook2,Εκλεκτή της καρδιάς μου,Πάνος Μιχελής,Ποίηση,2014,,Εκλεκτή της καρδιάς μου.pdf,https://www.openbook.gr/eklekti-tis-kardias-moy/,http://bit.ly/2PQSau9
openBook3,Η γυφτοπούλα,Αλέξανδρος Παπαδιαμάντης (1851-1911),Μυθιστόρημα,2019,978-618-5444-01-3,Η γυφτοπούλα.pdf,https://www.openbook.gr/i-gyftopoyla/,http://bit.ly/36xFA93
openBook4,Ο φτωχός Άγιος,Αλέξανδρος Παπαδιαμάντης (1851-1911),Διήγημα,2017,,Ο φτωχός Άγιος.pdf,https://www.openbook.gr/o-ftochos-agios/,http://bit.ly/2qcI63S
openBook5,Η Σταχομαζώχτρα,Αλέξανδρος Παπαδιαμάντης (1851-1911),Διήγημα,2017,,Η Σταχομαζώχτρα.pdf,https://www.openbook.gr/i-stachomazochtra/,http://bit.ly/2C4fqwF
openBook6,Ήμουν κι εγώ παιδί κάποτε,Φρίντα Κριτσωτάκη,Εκπαιδευτικό πρόγραμμα,2019,978-960-629-009-1,Ήμουν κι εγώ παιδί κάποτε.pdf,https://www.openbook.gr/imoyn-ki-ego-paidi-kapote/,http://bit.ly/2C73Qkl
openBook7,Διδακτικά παραμύθια,Κυριάκος Ταπακκούδης,Παιδική λογοτεχνία,2019,978-9925-7534-2-0,Διδακτικά παραμύθια.pdf,https://www.openbook.gr/didaktika-paramythia/,http://bit.ly/34fbncQ
openBook8,"6 Φωνές, 6 Γυναίκες",,Διήγημα,2019,978-960-8334-35-0,"6 Φωνές, 6 Γυναίκες.pdf",https://www.openbook.gr/6-fones-6-gynaikes/,http://bit.ly/2WmOwcL
openBook9,Πνοή μες στην Ψυχή,Άννα-Μαρία Θεοχαροπούλου,Ποίηση,2019,,Πνοή μες στην Ψυχή.pdf,https://www.openbook.gr/pnoi-mes-stin-psychi/,http://bit.ly/348w3TN
openBook10,Τα προκατειλημμένα χέρια (the dark Queen of Herself),Απόστολος Λαγαρίας,Νουβέλα,2019,978-618-00-1547-8,Τα προκατειλημμένα χέρια (the dark Queen of Herself).pdf,https://www.openbook.gr/ta-prokateilimmena-cheria/,http://bit.ly/2NqBvKW
